HY,ACG,HR,HS,AwayTeam,HO,HC,HF,AST,HST,Date,AC,AF,FTHG,AO,AS,AR,HCG,AY,HHW,HomeTeam,AHW,FTAG
0,0,0,9,BK Häcken,2,3,19,2,4,04/04/15,6,17,2,0,3,0,0,2,0,Hammarby IF,0,0
1,0,0,9,Helsingborgs IF,2,5,14,2,5,04/04/15,6,9,0,2,11,0,0,2,0,Kalmar FF,0,0
0,0,0,19,Gefle IF,2,7,11,8,10,05/04/15,7,10,0,4,10,0,0,0,1,Falkenbergs FF,0,2
2,0,0,14,Åtvidabergs FF,1,4,9,4,5,05/04/15,5,14,1,5,7,1,0,3,0,IFK Göteborg,0,0
2,0,0,9,IF Elfsborg,3,2,12,6,4,05/04/15,4,12,1,2,7,0,0,5,0,Djurgårdens IF,0,2
1,0,0,9,Örebro SK,1,9,13,5,5,05/04/15,6,11,1,1,12,0,0,2,0,IFK Norrköping,0,1
1,0,0,11,Halmstads BK,0,2,14,5,4,06/04/15,4,7,2,4,9,0,0,1,0,AIK,0,1
2,0,0,10,Malmö FF,1,3,16,7,4,06/04/15,4,5,1,0,9,1,0,2,0,GIF Sundsvall,0,4
0,0,0,7,Kalmar FF,1,4,17,8,4,08/04/15,10,13,2,0,13,0,0,3,0,Gefle IF,1,0
1,0,0,14,Falkenbergs FF,3,7,10,3,6,08/04/15,4,10,0,2,6,0,0,1,1,Helsingborgs IF,0,0
3,0,0,12,IFK Göteborg,1,8,9,5,7,08/04/15,6,9,0,0,10,0,0,2,2,Örebro SK,0,2
2,0,0,9,Hammarby IF,0,9,11,2,5,08/04/15,0,14,1,2,6,0,0,1,0,IF Elfsborg,0,1
2,0,0,13,Djurgårdens IF,0,2,8,4,5,09/04/15,6,6,1,1,8,0,0,2,0,BK Häcken,1,1
2,0,0,5,IFK Norrköping,3,5,16,8,2,09/04/15,3,8,0,5,12,0,0,0,0,Halmstads BK,0,3
1,1,0,8,GIF Sundsvall,1,5,7,9,6,09/04/15,8,11,2,6,11,0,0,1,0,Åtvidabergs FF,0,3
3,0,0,11,AIK,3,11,16,4,8,09/04/15,3,12,0,2,11,0,0,2,0,Malmö FF,0,0
0,0,0,12,Örebro SK,5,3,16,5,9,12/04/15,5,10,2,5,11,0,0,0,1,Falkenbergs FF,1,0
1,0,0,11,Helsingborgs IF,1,3,5,6,6,12/04/15,6,11,1,0,12,0,0,3,0,Halmstads BK,0,2
2,0,0,20,Gefle IF,5,7,19,1,9,12/04/15,4,12,3,1,4,0,0,1,0,AIK,0,1
1,0,0,5,Malmö FF,1,7,9,2,1,12/04/15,4,9,0,4,7,0,0,2,0,IFK Göteborg,0,1
2,0,0,8,BK Häcken,4,8,9,7,4,13/04/15,6,8,1,1,13,0,0,0,0,GIF Sundsvall,0,1
0,0,0,13,IF Elfsborg,2,5,6,7,4,13/04/15,4,12,0,2,10,0,0,3,0,IFK Norrköping,0,4
2,0,0,9,Åtvidabergs FF,6,5,10,1,5,13/04/15,1,11,2,0,4,0,0,0,0,Kalmar FF,0,1
1,0,0,14,Djurgårdens IF,1,5,8,5,7,13/04/15,2,8,2,5,14,0,0,1,2,Hammarby IF,0,1
0,0,0,10,Kalmar FF,3,1,10,4,4,17/04/15,3,9,1,1,8,0,0,1,1,Djurgårdens IF,0,0
0,0,0,20,Halmstads BK,1,18,10,3,9,18/04/15,3,9,0,1,6,0,0,1,0,Gefle IF,0,0
0,0,1,10,Falkenbergs FF,6,11,9,5,6,19/04/15,5,11,3,2,9,0,0,2,0,Åtvidabergs FF,1,1
4,0,0,10,IFK Göteborg,3,3,18,5,6,19/04/15,6,10,1,1,9,0,0,1,0,BK Häcken,0,2
1,0,0,13,IFK Norrköping,3,3,19,1,7,20/04/15,5,11,3,1,5,0,0,4,0,Helsingborgs IF,0,1
1,0,0,30,GIF Sundsvall,0,13,7,12,20,20/04/15,5,9,1,1,14,0,0,1,0,Örebro SK,0,3
1,0,0,14,Hammarby IF,2,7,7,4,5,20/04/15,5,8,3,3,10,0,0,2,2,Malmö FF,0,1
2,0,0,11,AIK,2,4,18,4,6,21/04/15,4,11,3,1,8,0,0,2,0,IF Elfsborg,0,2
1,0,0,7,Malmö FF,3,1,11,12,4,24/04/15,11,6,3,2,25,0,0,0,0,Falkenbergs FF,1,3
1,0,0,16,Åtvidabergs FF,5,4,10,3,9,25/04/15,8,12,2,6,5,0,0,1,0,Hammarby IF,0,1
2,0,0,5,Djurgårdens IF,5,8,10,5,2,26/04/15,5,7,0,0,10,0,0,0,0,GIF Sundsvall,1,2
2,0,0,4,IF Elfsborg,5,4,9,5,4,26/04/15,8,9,1,1,11,0,0,0,0,Halmstads BK,0,0
0,0,0,23,Örebro SK,2,6,7,1,10,26/04/15,2,13,3,1,4,1,0,2,0,AIK,1,0
4,0,1,13,BK Häcken,2,4,15,7,5,26/04/15,4,20,0,2,11,0,0,2,0,Kalmar FF,0,1
1,0,0,15,Gefle IF,3,6,15,4,12,27/04/15,5,10,4,1,9,0,0,3,0,IFK Norrköping,1,1
0,0,0,14,Helsingborgs IF,1,4,11,4,8,27/04/15,6,16,3,2,16,0,0,5,0,IFK Göteborg,0,1
1,0,0,15,Falkenbergs FF,3,10,5,1,8,29/04/15,0,12,3,2,4,0,0,0,0,Djurgårdens IF,0,1
1,0,0,18,Kalmar FF,1,6,7,2,6,29/04/15,0,18,2,3,3,0,0,3,1,IF Elfsborg,0,1
2,0,0,23,Halmstads BK,0,10,6,4,13,29/04/15,1,8,3,3,6,0,0,1,0,Malmö FF,0,1
0,0,0,9,AIK,4,7,12,6,3,29/04/15,2,12,1,1,9,0,0,2,0,Åtvidabergs FF,0,1
2,0,0,10,IFK Norrköping,2,4,11,9,6,30/04/15,7,13,0,6,13,0,0,1,0,BK Häcken,0,2
0,0,0,7,IFK Göteborg,5,2,10,4,2,30/04/15,6,11,0,0,13,0,0,0,0,Gefle IF,0,0
0,0,0,8,GIF Sundsvall,3,3,13,6,5,30/04/15,8,7,2,1,12,0,0,0,0,Helsingborgs IF,0,0
3,0,0,21,Hammarby IF,0,7,10,8,10,30/04/15,5,16,2,2,14,0,0,3,0,Örebro SK,0,2
1,1,0,18,IF Elfsborg,2,4,7,6,7,03/05/15,5,6,0,1,10,0,0,0,3,GIF Sundsvall,0,1
1,0,0,19,Åtvidabergs FF,3,4,12,3,9,03/05/15,6,16,2,1,5,1,0,3,1,IFK Norrköping,0,1
1,0,0,16,Gefle IF,3,4,14,2,7,03/05/15,3,6,5,1,5,0,1,1,0,Djurgårdens IF,0,1
3,0,0,20,Helsingborgs IF,1,3,9,5,14,03/05/15,4,11,3,0,11,0,0,4,0,Malmö FF,0,1
1,0,0,7,BK Häcken,5,1,10,5,3,04/05/15,3,12,0,1,12,0,0,2,1,Halmstads BK,0,2
0,0,0,12,Falkenbergs FF,3,6,9,4,3,04/05/15,2,15,2,2,5,0,0,0,0,IFK Göteborg,0,1
1,0,0,11,Örebro SK,3,6,11,6,5,04/05/15,3,9,3,3,7,0,1,1,0,Kalmar FF,0,0
3,0,0,11,Hammarby IF,1,8,10,4,4,04/05/15,2,12,2,3,7,0,0,3,0,AIK,1,0
1,1,0,5,IFK Göteborg,1,2,13,10,1,08/05/15,8,6,0,2,21,0,0,1,0,Kalmar FF,1,2
3,0,0,11,Gefle IF,2,7,24,4,7,09/05/15,4,14,1,1,8,0,0,2,0,Helsingborgs IF,0,2
1,0,0,11,Halmstads BK,0,7,9,6,6,10/05/15,7,10,1,2,8,0,0,1,0,Falkenbergs FF,0,0
2,0,0,13,IFK Norrköping,1,9,11,3,8,10/05/15,4,4,2,2,12,0,1,1,0,AIK,1,2
0,0,0,8,Örebro SK,2,7,5,1,3,10/05/15,5,12,2,4,5,0,0,1,0,BK Häcken,0,0
2,0,0,14,GIF Sundsvall,0,7,14,8,9,11/05/15,7,13,1,5,17,0,0,0,1,Hammarby IF,0,2
1,0,0,7,Djurgårdens IF,3,7,15,9,4,11/05/15,3,12,2,4,11,0,0,1,0,Åtvidabergs FF,0,3
1,0,0,14,Malmö FF,5,2,14,6,8,11/05/15,5,7,2,1,11,0,0,1,0,IF Elfsborg,1,2
2,0,0,12,Djurgårdens IF,0,3,10,7,4,18/05/15,9,12,2,0,15,0,0,2,2,Halmstads BK,0,3
1,0,0,13,Kalmar FF,1,5,14,6,6,19/05/15,3,18,1,4,8,0,0,2,0,Falkenbergs FF,0,3
1,0,0,18,Helsingborgs IF,1,5,9,1,9,20/05/15,2,11,2,1,5,0,0,2,1,IF Elfsborg,0,1
2,0,0,10,Hammarby IF,6,9,6,5,5,20/05/15,5,13,1,5,16,0,0,1,0,IFK Norrköping,1,0
1,0,0,7,Åtvidabergs FF,5,4,13,6,7,20/05/15,8,13,2,3,10,0,0,2,0,Örebro SK,0,1
0,0,0,8,GIF Sundsvall,2,2,4,6,5,20/05/15,12,7,3,3,14,0,0,1,0,Gefle IF,0,1
3,0,0,13,BK Häcken,1,11,14,8,4,21/05/15,1,11,0,0,12,0,0,2,0,Malmö FF,0,3
2,0,0,11,AIK,3,6,9,0,6,21/05/15,4,12,3,1,4,0,0,1,0,IFK Göteborg,0,0
2,0,0,8,IFK Göteborg,3,6,12,4,4,24/05/15,5,10,1,1,14,0,0,0,0,Halmstads BK,2,2
3,0,0,16,Gefle IF,1,8,10,5,10,24/05/15,5,10,1,3,9,0,0,1,0,Örebro SK,0,0
2,0,0,13,Malmö FF,0,3,16,2,5,24/05/15,6,15,2,3,7,0,0,2,1,Kalmar FF,0,1
3,0,0,10,IF Elfsborg,4,2,10,8,4,24/05/15,6,9,1,3,12,0,0,1,0,Åtvidabergs FF,0,2
1,0,0,7,Falkenbergs FF,1,4,12,4,3,25/05/15,6,11,0,1,12,0,0,2,0,BK Häcken,0,2
2,0,0,6,IFK Norrköping,2,10,16,7,3,25/05/15,3,8,0,1,13,0,0,1,0,GIF Sundsvall,0,1
1,0,0,9,Hammarby IF,1,2,9,4,3,25/05/15,5,9,1,2,13,0,0,2,0,Helsingborgs IF,0,0
0,1,0,13,AIK,2,7,12,5,7,25/05/15,2,18,2,2,6,0,0,1,1,Djurgårdens IF,0,2
1,0,0,9,BK Häcken,7,5,6,1,5,29/05/15,5,6,2,3,7,0,0,1,0,Gefle IF,0,0
3,0,0,12,GIF Sundsvall,1,4,10,4,5,30/05/15,2,8,1,3,7,0,0,0,0,Falkenbergs FF,0,1
2,0,0,16,Halmstads BK,4,6,12,7,9,30/05/15,5,13,2,4,13,0,0,3,1,Hammarby IF,1,2
0,0,0,18,Kalmar FF,5,4,9,1,7,30/05/15,2,13,2,1,3,0,0,3,0,IFK Norrköping,0,1
2,0,0,26,Helsingborgs IF,1,6,12,4,11,31/05/15,4,8,3,3,9,1,0,1,1,AIK,0,1
2,0,0,11,Örebro SK,4,9,13,3,4,31/05/15,1,13,2,2,5,0,0,1,0,IF Elfsborg,0,2
1,0,0,25,Åtvidabergs FF,1,10,8,3,16,31/05/15,1,9,3,3,7,0,0,2,1,Malmö FF,0,0
2,0,0,11,Djurgårdens IF,0,4,9,8,4,01/06/15,5,11,0,2,12,0,0,3,1,IFK Göteborg,0,0
0,0,0,15,Falkenbergs FF,5,9,12,7,10,03/06/15,2,8,4,3,14,0,0,2,0,AIK,0,3
0,0,0,3,GIF Sundsvall,3,5,6,4,2,03/06/15,10,11,1,0,9,0,0,2,0,Halmstads BK,0,0
2,0,0,10,BK Häcken,4,0,9,3,2,03/06/15,9,9,1,0,7,0,0,2,2,Åtvidabergs FF,1,1
0,0,0,21,Helsingborgs IF,1,4,12,13,9,03/06/15,11,9,0,0,21,0,0,1,3,Örebro SK,0,0
1,0,0,9,Malmö FF,1,4,5,7,7,03/06/15,6,7,1,2,11,0,0,1,0,Gefle IF,0,2
2,0,0,9,IFK Norrköping,0,6,8,4,2,04/06/15,3,14,1,0,9,0,0,2,0,Djurgårdens IF,0,1
1,0,0,9,IF Elfsborg,0,2,4,3,6,04/06/15,5,15,1,0,9,1,0,2,0,IFK Göteborg,0,0
1,0,0,16,Hammarby IF,1,6,13,6,5,04/06/15,7,6,2,2,15,0,0,1,2,Kalmar FF,1,2
1,0,0,7,AIK,0,9,12,4,3,06/06/15,7,15,0,0,8,0,0,4,0,BK Häcken,0,0
2,0,0,11,Åtvidabergs FF,5,4,18,1,7,06/06/15,1,8,3,0,4,1,0,2,0,Helsingborgs IF,0,0
0,0,0,8,Halmstads BK,2,6,14,7,3,06/06/15,5,13,1,2,10,0,0,2,1,Örebro SK,0,1
3,0,0,13,Kalmar FF,2,5,10,4,3,07/06/15,7,7,1,1,10,0,1,0,0,GIF Sundsvall,0,1
2,0,1,11,IFK Göteborg,6,4,10,3,4,07/06/15,4,7,0,1,5,0,0,2,0,Hammarby IF,0,1
1,1,0,16,Gefle IF,5,6,11,4,9,07/06/15,4,6,5,0,6,0,0,1,1,IF Elfsborg,0,1
0,0,0,14,Falkenbergs FF,2,16,10,4,9,07/06/15,6,12,2,1,5,0,0,1,0,IFK Norrköping,0,0
3,0,0,10,Djurgårdens IF,0,16,13,3,9,07/06/15,5,9,1,2,7,0,0,1,0,Malmö FF,1,1
1,0,0,14,Örebro SK,3,8,4,2,6,04/07/15,4,7,2,3,6,0,1,2,0,Djurgårdens IF,0,0
0,0,0,13,Halmstads BK,3,6,13,2,8,04/07/15,4,9,0,1,9,0,0,1,0,Åtvidabergs FF,0,0
2,0,0,12,Malmö FF,2,5,6,8,6,04/07/15,10,5,3,3,12,0,1,4,0,IFK Norrköping,0,1
4,0,0,5,IF Elfsborg,1,5,21,12,4,05/07/15,6,8,2,0,19,0,1,0,0,Falkenbergs FF,0,2
3,0,0,21,Helsingborgs IF,2,11,14,7,11,05/07/15,2,9,3,3,10,0,0,0,2,BK Häcken,1,2
0,0,0,10,IFK Göteborg,3,5,9,4,5,05/07/15,10,7,2,3,15,0,1,0,0,GIF Sundsvall,0,2
3,0,0,9,AIK,3,3,11,6,1,05/07/15,2,14,0,0,11,0,0,2,0,Kalmar FF,0,0
1,0,0,5,Hammarby IF,1,4,9,4,2,06/07/15,8,8,1,3,9,0,1,2,0,Gefle IF,1,1
1,0,0,8,Kalmar FF,5,2,9,5,5,11/07/15,6,16,1,0,12,0,0,2,0,Halmstads BK,0,0
1,0,0,10,Örebro SK,1,11,12,4,6,11/07/15,0,9,2,4,7,0,0,1,0,Malmö FF,0,2
2,0,0,10,Gefle IF,3,4,15,4,4,11/07/15,3,16,1,2,6,0,0,2,0,Åtvidabergs FF,0,1
1,0,0,16,BK Häcken,1,4,6,3,4,12/07/15,6,8,1,1,11,0,0,2,0,IF Elfsborg,0,0
2,0,0,24,GIF Sundsvall,2,5,6,6,9,12/07/15,4,15,4,3,10,0,0,2,1,AIK,0,1
1,0,0,11,IFK Norrköping,0,7,11,2,6,12/07/15,1,16,0,1,8,0,0,1,0,IFK Göteborg,0,0
0,0,0,20,Falkenbergs FF,3,1,10,0,10,13/07/15,4,5,3,2,3,0,0,0,0,Hammarby IF,0,0
