HY,ACG,HR,HS,AwayTeam,HO,HC,HF,AST,HST,Date,AC,AF,FTHG,AO,AS,AR,HCG,AY,HHW,HomeTeam,AHW,FTAG
2,1,0,1,Djurgårdens IF,3,1,7,6,0,13/07/15,11,5,0,0,19,0,0,2,0,Helsingborgs IF,3,1
0,0,0,12,Halmstads BK,2,8,11,5,6,18/07/15,2,8,0,0,11,0,0,0,0,GIF Sundsvall,0,0
2,0,0,16,Falkenbergs FF,1,4,16,0,11,18/07/15,0,18,4,2,5,0,0,2,0,Kalmar FF,0,0
0,0,0,8,Malmö FF,0,6,9,7,5,18/07/15,9,9,1,6,22,0,0,0,0,Örebro SK,0,1
1,0,0,14,IFK Göteborg,0,4,13,7,7,19/07/15,4,9,2,1,10,0,0,5,0,IFK Norrköping,0,2
3,0,0,13,AIK,4,4,13,6,8,19/07/15,5,15,3,1,17,0,0,2,0,Helsingborgs IF,1,1
1,0,0,12,Åtvidabergs FF,2,4,6,4,4,20/07/15,6,11,0,2,6,0,0,1,1,Djurgårdens IF,0,0
3,0,0,14,Hammarby IF,6,2,17,7,4,20/07/15,2,13,3,5,11,0,0,2,0,BK Häcken,0,3
2,0,0,6,IF Elfsborg,2,1,11,8,6,12/08/15,9,10,2,1,16,0,0,3,0,Gefle IF,1,3
2,0,0,11,Kalmar FF,1,12,12,2,9,25/07/15,5,18,3,0,7,0,0,4,0,BK Häcken,0,0
1,0,0,16,GIF Sundsvall,3,10,4,1,8,25/07/15,1,4,3,0,5,0,0,1,1,Malmö FF,0,0
3,0,0,13,Helsingborgs IF,0,6,11,6,3,25/07/15,4,14,1,3,12,0,0,3,1,Åtvidabergs FF,0,2
1,0,0,8,IFK Göteborg,1,3,17,8,6,26/07/15,12,6,1,0,17,0,0,3,0,Falkenbergs FF,0,0
1,0,0,13,IF Elfsborg,3,6,12,4,7,26/07/15,1,5,4,1,9,0,1,3,0,AIK,1,2
2,0,0,12,Gefle IF,2,11,12,2,6,27/07/15,5,8,0,2,7,0,0,1,0,Halmstads BK,1,1
4,0,0,15,IFK Norrköping,4,12,12,10,8,27/07/15,7,13,0,3,15,0,0,2,0,Hammarby IF,0,1
3,0,0,8,Djurgårdens IF,2,4,17,8,4,27/07/15,11,10,0,1,14,0,0,2,0,Örebro SK,0,1
0,0,0,10,Kalmar FF,1,2,12,8,3,31/07/15,4,9,1,0,14,0,0,0,1,Helsingborgs IF,0,2
1,0,0,8,BK Häcken,3,8,6,9,6,01/08/15,12,12,2,0,10,1,0,4,0,Djurgårdens IF,0,1
1,0,0,13,Falkenbergs FF,2,3,9,4,9,01/08/15,1,12,1,0,9,0,0,1,0,Gefle IF,0,0
2,0,0,9,Malmö FF,4,6,7,4,5,01/08/15,9,16,2,1,7,0,0,4,0,Åtvidabergs FF,0,2
1,0,0,7,AIK,0,8,10,3,2,02/08/15,7,9,1,2,9,0,0,1,0,IFK Norrköping,0,2
1,0,0,21,Halmstads BK,4,6,12,3,9,02/08/15,6,4,2,3,11,0,0,0,1,IF Elfsborg,1,0
1,0,0,12,Örebro SK,0,7,7,1,8,02/08/15,1,9,6,1,4,0,0,2,0,IFK Göteborg,0,0
2,0,0,11,Hammarby IF,2,5,9,6,7,03/08/15,3,13,3,2,11,0,0,3,2,GIF Sundsvall,0,0
1,0,0,15,Gefle IF,1,4,8,4,4,08/08/15,4,5,1,6,9,0,0,1,1,BK Häcken,0,1
1,0,0,18,Helsingborgs IF,1,4,19,11,10,08/08/15,2,7,2,0,18,0,0,0,0,Falkenbergs FF,1,3
5,0,1,7,IFK Göteborg,3,4,10,4,5,09/08/15,7,15,2,3,12,0,1,4,0,Malmö FF,0,1
1,0,0,17,IFK Norrköping,2,8,13,6,9,09/08/15,3,11,1,1,8,0,0,3,0,Örebro SK,0,3
2,0,0,9,Åtvidabergs FF,2,9,12,7,5,09/08/15,5,6,0,1,11,0,0,1,0,Halmstads BK,0,0
1,0,0,14,IF Elfsborg,6,2,7,4,4,09/08/15,4,8,0,1,8,0,0,3,0,Hammarby IF,0,0
0,0,0,15,GIF Sundsvall,2,3,13,3,5,10/08/15,2,8,0,1,5,0,0,1,1,Kalmar FF,0,2
1,0,1,10,Djurgårdens IF,3,1,8,6,2,10/08/15,11,11,1,0,9,1,0,2,0,AIK,0,0
1,0,1,10,Örebro SK,1,4,8,2,4,15/08/15,7,9,1,1,13,0,0,2,0,GIF Sundsvall,0,0
1,0,0,16,Gefle IF,2,7,15,2,8,15/08/15,4,5,2,4,6,0,0,0,0,Malmö FF,0,0
3,0,0,6,Kalmar FF,2,5,12,2,4,16/08/15,3,15,2,2,7,0,0,4,1,AIK,0,1
2,0,0,13,BK Häcken,1,6,10,4,6,16/08/15,4,12,4,1,9,1,0,2,0,IFK Göteborg,0,0
0,0,0,9,Djurgårdens IF,1,5,7,7,5,16/08/15,12,7,2,0,11,0,0,1,2,IF Elfsborg,0,0
1,0,0,15,Hammarby IF,0,7,10,3,5,17/08/15,2,15,0,4,5,0,0,0,1,Falkenbergs FF,0,1
1,0,0,23,Halmstads BK,0,7,11,4,10,17/08/15,5,10,2,0,8,1,0,1,2,Helsingborgs IF,0,0
1,0,0,6,IFK Norrköping,3,2,9,11,3,17/08/15,8,14,1,0,19,0,0,3,0,Åtvidabergs FF,0,1
2,0,0,8,Malmö FF,6,3,12,2,6,22/08/15,3,10,1,4,4,0,0,0,0,BK Häcken,0,0
1,0,0,9,AIK,2,3,13,5,5,23/08/15,1,10,1,1,11,0,0,0,0,Gefle IF,0,2
3,0,0,7,IFK Göteborg,1,2,10,8,3,23/08/15,4,6,0,2,15,0,0,0,0,Åtvidabergs FF,0,1
2,0,0,14,Örebro SK,3,2,13,6,5,23/08/15,4,13,2,1,12,0,0,2,0,Halmstads BK,0,2
2,0,0,12,IF Elfsborg,1,6,13,6,3,23/08/15,2,10,0,4,9,0,0,1,0,Kalmar FF,0,3
1,0,0,16,Falkenbergs FF,0,4,10,4,7,24/08/15,2,12,0,1,13,0,0,1,1,GIF Sundsvall,0,1
1,0,0,15,Helsingborgs IF,2,6,6,9,4,24/08/15,3,20,3,1,13,1,2,5,1,IFK Norrköping,0,2
1,0,0,13,Hammarby IF,3,3,5,6,9,24/08/15,11,8,2,5,8,0,0,3,1,Djurgårdens IF,1,2
0,0,0,14,Kalmar FF,2,9,12,4,6,28/08/15,2,11,0,1,7,0,0,2,0,Hammarby IF,0,0
0,0,0,18,Halmstads BK,2,10,3,2,8,29/08/15,1,4,4,2,5,0,0,0,0,Djurgårdens IF,1,2
1,0,0,6,IFK Norrköping,2,8,13,9,2,29/08/15,5,8,0,2,15,0,0,0,0,Falkenbergs FF,1,1
0,0,0,10,BK Häcken,5,3,13,4,6,29/08/15,9,9,2,1,11,0,0,2,0,Örebro SK,0,0
1,0,0,16,Åtvidabergs FF,3,6,12,4,8,30/08/15,2,12,1,4,9,0,0,2,0,AIK,0,0
1,0,1,11,Gefle IF,2,4,6,1,7,30/08/15,0,10,3,0,4,0,0,0,0,IFK Göteborg,1,0
4,0,0,6,Malmö FF,1,2,16,12,2,30/08/15,3,10,0,3,16,0,0,4,0,Helsingborgs IF,0,3
3,0,0,16,GIF Sundsvall,1,13,8,7,10,30/08/15,2,12,1,1,12,2,0,4,0,IF Elfsborg,0,2
1,0,0,13,IFK Norrköping,2,7,8,6,7,11/09/15,1,11,1,4,14,0,0,1,0,Kalmar FF,3,2
2,1,0,10,AIK,4,5,7,8,7,12/09/15,3,15,2,3,10,0,0,1,0,Falkenbergs FF,0,4
3,0,0,21,IF Elfsborg,3,7,11,4,10,12/09/15,7,12,1,1,6,0,0,1,2,Malmö FF,0,1
1,0,0,16,Örebro SK,3,10,10,6,10,13/09/15,4,5,1,0,13,0,0,1,0,Hammarby IF,0,2
3,0,0,9,IFK Göteborg,2,4,17,5,5,13/09/15,4,13,1,2,9,0,0,1,0,Helsingborgs IF,0,2
1,0,0,15,Halmstads BK,4,7,11,5,7,14/09/15,2,5,4,0,10,0,0,1,1,BK Häcken,0,1
2,0,0,9,Åtvidabergs FF,2,13,10,1,3,14/09/15,1,8,0,1,4,0,0,2,0,GIF Sundsvall,2,1
0,0,0,11,Djurgårdens IF,1,6,9,6,3,14/09/15,5,7,2,2,12,0,0,2,0,Gefle IF,0,1
1,0,0,17,Falkenbergs FF,3,5,9,8,7,18/09/15,5,11,0,0,11,0,0,2,1,Halmstads BK,0,1
5,0,1,16,BK Häcken,2,7,13,3,5,19/09/15,1,18,2,3,5,0,0,2,2,AIK,0,1
1,0,0,11,Malmö FF,1,4,13,4,4,20/09/15,4,7,0,3,6,0,0,4,0,Djurgårdens IF,0,2
0,0,0,7,Helsingborgs IF,0,5,8,6,6,20/09/15,8,9,2,3,13,0,0,1,0,Gefle IF,2,1
0,0,0,9,Kalmar FF,0,2,9,6,3,20/09/15,1,13,1,4,8,0,0,1,0,Åtvidabergs FF,1,1
0,0,0,9,Hammarby IF,1,6,10,2,5,20/09/15,3,11,1,1,6,0,0,0,0,IFK Göteborg,0,0
0,0,0,21,GIF Sundsvall,3,5,11,4,9,20/09/15,0,5,5,0,9,0,1,0,0,IFK Norrköping,0,1
3,0,0,13,IF Elfsborg,2,6,10,13,7,21/09/15,5,15,4,1,20,0,0,2,0,Örebro SK,0,2
2,0,0,14,Gefle IF,3,3,12,0,6,23/09/15,6,11,3,1,3,0,0,2,1,Hammarby IF,0,0
2,0,0,19,Djurgårdens IF,2,4,5,5,7,23/09/15,7,7,4,3,7,0,0,0,1,IFK Norrköping,0,2
3,0,0,11,Halmstads BK,2,8,16,4,5,23/09/15,7,10,1,1,7,0,0,3,0,Kalmar FF,0,0
1,0,0,18,Falkenbergs FF,2,5,7,4,13,23/09/15,4,5,4,1,6,0,1,1,0,Malmö FF,0,3
2,0,0,11,AIK,3,3,8,2,5,23/09/15,1,7,0,0,14,0,0,0,0,GIF Sundsvall,0,2
1,0,0,24,Åtvidabergs FF,1,5,15,2,18,24/09/15,4,7,3,1,10,1,0,0,0,BK Häcken,0,0
1,0,0,14,Örebro SK,0,8,5,7,6,24/09/15,1,5,0,1,11,0,0,1,0,Helsingborgs IF,0,2
3,1,0,14,IFK Göteborg,4,1,11,7,8,24/09/15,1,12,1,1,12,0,0,1,0,IF Elfsborg,0,1
2,0,0,10,Malmö FF,3,4,11,7,7,26/09/15,5,18,0,6,9,0,0,1,0,Halmstads BK,0,0
2,0,0,14,BK Häcken,1,7,13,9,7,27/09/15,5,14,1,2,13,0,0,1,0,Falkenbergs FF,1,2
2,0,0,7,AIK,2,5,17,2,2,27/09/15,2,12,1,0,6,1,0,1,0,Hammarby IF,0,0
1,0,0,5,IFK Norrköping,4,3,12,7,3,27/09/15,3,8,1,3,15,0,0,0,0,Gefle IF,1,2
1,0,0,8,Helsingborgs IF,0,9,8,6,3,28/09/15,2,6,2,1,10,0,0,1,0,Djurgårdens IF,0,2
0,0,0,13,Åtvidabergs FF,3,3,7,2,6,28/09/15,4,12,3,2,8,0,0,3,0,IF Elfsborg,0,1
1,0,0,9,Kalmar FF,4,2,8,7,5,28/09/15,1,14,2,0,11,0,0,2,0,Örebro SK,0,1
0,0,0,13,GIF Sundsvall,0,9,10,4,9,28/09/15,0,11,3,3,9,0,0,0,0,IFK Göteborg,0,2
2,0,0,14,Hammarby IF,3,5,11,9,6,02/10/15,5,7,0,1,16,0,0,4,0,Åtvidabergs FF,0,3
2,0,0,14,Gefle IF,2,8,5,4,7,03/10/15,4,12,2,3,6,0,0,0,0,GIF Sundsvall,0,1
0,0,0,17,Falkenbergs FF,2,8,8,9,8,03/10/15,7,8,2,1,16,0,0,1,0,Örebro SK,0,1
2,0,0,14,IF Elfsborg,3,0,20,6,6,04/10/15,2,10,2,1,11,0,0,1,0,Helsingborgs IF,0,1
2,0,0,14,Halmstads BK,1,10,9,2,6,04/10/15,5,8,1,1,7,0,0,2,1,IFK Göteborg,0,1
1,2,0,8,Djurgårdens IF,1,6,8,8,1,04/10/15,3,12,0,0,15,0,0,3,1,Kalmar FF,0,3
0,0,0,9,Malmö FF,3,3,13,5,5,04/10/15,8,17,2,9,11,1,0,4,0,AIK,0,1
1,0,0,12,BK Häcken,2,7,7,1,8,04/10/15,4,11,3,3,6,0,0,2,0,IFK Norrköping,0,1
3,0,0,16,Kalmar FF,3,7,10,7,9,17/10/15,3,10,3,4,11,0,0,1,1,Malmö FF,0,0
2,0,0,7,AIK,2,3,11,4,4,18/10/15,10,17,0,7,11,0,0,2,0,Halmstads BK,1,1
2,0,0,16,Åtvidabergs FF,2,5,10,1,12,18/10/15,6,11,6,0,9,0,0,0,0,Falkenbergs FF,0,0
2,0,0,23,Helsingborgs IF,0,11,9,6,12,18/10/15,1,6,1,4,9,1,0,2,1,Hammarby IF,0,4
1,0,0,19,GIF Sundsvall,2,6,10,5,11,19/10/15,6,5,3,2,13,0,0,0,0,BK Häcken,0,1
1,0,0,11,IFK Göteborg,1,3,10,3,7,19/10/15,6,9,2,2,10,0,0,1,0,Djurgårdens IF,0,2
0,0,0,11,Örebro SK,2,9,13,4,6,19/10/15,6,11,2,0,11,0,0,0,1,Gefle IF,0,2
3,0,0,10,IFK Norrköping,3,2,10,10,7,19/10/15,11,11,3,5,15,0,0,3,0,IF Elfsborg,1,2
1,0,0,14,Djurgårdens IF,2,4,5,11,3,24/10/15,7,11,0,1,17,0,0,1,1,Falkenbergs FF,0,2
1,0,0,14,Helsingborgs IF,5,8,14,5,4,25/10/15,5,7,2,2,13,0,0,2,1,GIF Sundsvall,0,1
2,0,0,7,Malmö FF,4,2,10,1,2,25/10/15,9,10,0,3,3,0,0,2,2,Hammarby IF,0,1
4,0,0,17,IF Elfsborg,2,9,15,6,12,25/10/15,7,8,5,5,10,0,0,2,1,BK Häcken,0,2
1,0,0,18,Halmstads BK,1,4,5,4,6,25/10/15,10,11,3,1,4,0,0,1,0,IFK Norrköping,0,1
0,0,0,18,Gefle IF,2,6,13,3,11,26/10/15,3,9,3,1,4,1,0,2,0,Kalmar FF,0,1
1,0,0,16,Örebro SK,2,5,16,9,8,26/10/15,2,11,2,2,15,0,0,2,2,Åtvidabergs FF,0,3
4,0,0,13,IFK Göteborg,4,4,14,6,6,26/10/15,3,10,1,3,12,0,0,1,0,AIK,0,2
0,0,0,17,GIF Sundsvall,3,4,4,5,9,31/10/15,4,7,4,3,10,0,0,0,1,Djurgårdens IF,0,2
0,0,0,12,Åtvidabergs FF,2,5,13,2,5,31/10/15,3,10,2,4,11,0,0,1,0,Gefle IF,1,1
1,0,0,5,Hammarby IF,1,4,6,9,4,31/10/15,7,13,2,1,19,0,0,1,0,Halmstads BK,0,1
0,0,0,19,BK Häcken,1,6,10,5,10,31/10/15,2,8,1,2,10,0,0,0,0,Helsingborgs IF,0,2
0,0,0,19,Falkenbergs FF,6,6,6,6,11,31/10/15,3,7,4,2,7,0,0,1,0,IF Elfsborg,0,2
2,1,0,16,Kalmar FF,1,16,11,2,8,31/10/15,3,8,2,4,11,0,0,4,1,IFK Göteborg,0,2
4,0,2,8,IFK Norrköping,2,8,18,5,5,31/10/15,1,10,0,5,10,0,0,2,0,Malmö FF,1,2
1,0,0,19,AIK,2,10,13,17,12,31/10/15,6,9,1,0,21,0,0,2,0,Örebro SK,0,1
